city_name,city_latitude,city_longitude
Boyne Falls, 45.168060, -84.916160
Boys Island, 48.181260, -88.432850
Bradley, 42.630310, -85.643080
Bradleyville, 43.583350, -83.623580
Brady Center, 43.172520, -84.227200
Brampton, 45.931350, -87.071250
Brandon Gardens, 42.825580, -83.443560
Brant, 43.259190, -84.229700
Brassar, 46.506130, -84.217250
Bravo, 42.513090, -86.091980
Braywood, 42.262810, -86.345860
Breckenridge, 43.408080, -84.475000
Breckenridge Mobile Home Park, 43.413890, -84.484720
Breedsville, 42.346420, -86.073080
Breezy Beach, 41.802550, -85.559430
Brent Creek, 43.117810, -83.886630
Brentwood Estates Mobile Home Park, 43.641670, -83.922780
Brentwood Mobile Village, 42.857220, -85.656940
Brethren, 44.304450, -86.018970
Bretton Woods, 42.741980, -84.613870
Brevort, 46.018900, -85.041730
Briarwood Senior Housing, 42.480700, -83.341400
Brice, 43.161700, -84.758340
Bridgeport, 43.359470, -83.881640
Bridgeport Mobile Home Park, 43.366110, -83.887500
Bridgeton, 43.346690, -85.937280
Bridgeville, 43.135860, -84.592770
Bridgewater, 42.160870, -83.902160
Bridgman, 41.943100, -86.556970
Brighton, 42.529480, -83.780220
Brighton Village Mobile Home Park, 42.563890, -83.805000
Brimley, 46.405300, -84.572270
Brinton, 43.770300, -85.010310
Brissette Beach, 43.709190, -83.936090
Bristol, 44.103900, -85.583670
British Landing, 45.877510, -84.645050
Britton, 41.986710, -83.831050
Broad Acres, 42.549200, -82.902140
Broadbridge Station, 42.678640, -82.511850
Broadway Acres Mobile Home Park, 43.605560, -84.739440
Brockway, 43.074470, -82.765480
Brohman, 43.685290, -85.815890
Bronson, 41.872270, -85.194700
Brook Haven Mobile Home Park, 43.050000, -85.655560
Brookfield, 42.451150, -84.796650
Brookhaven Estates Mobile Home Park, 43.412780, -85.786670
Brooklyn, 42.105870, -84.248280
Brookside, 43.424170, -85.980000
Brookside, 44.742220, -85.646740
Brookside Meadows Community Mobile Home Park, 42.888890, -85.820000
Brookton Corners, 46.549380, -87.455970
Brookville, 42.377260, -83.578550
Broomfield Center, 43.595860, -85.026690
Broomfield Valley Mobile Home Park, 43.595560, -84.984720
Brown City, 43.212250, -82.989660
Brown Island, 45.286130, -83.479980
Brownlee Park, 42.318930, -85.142490
Brownstown Charter Township, 42.080600, -83.194650
Brownsville, 41.878100, -85.954170
Bruce Crossing, 46.534940, -89.178750
Bruckner Island, 42.572260, -82.659630
Bruningville, 45.385290, -83.824440
Brunswick, 43.433070, -86.040340
Brush Island, 44.736670, -85.766470
Brutus, 45.493070, -84.781710
Bryant, 44.525010, -83.665810
Buchanan, 41.827270, -86.361120
Buck Trails, 44.101410, -84.857810
Buckhorn, 42.001990, -86.403630
Buckley, 44.504450, -85.677010
Buckroe, 46.672150, -87.524300
Bucks, 44.748070, -84.570020
Buckshot Landing, 46.816330, -89.795160
Buell Hill Estates Mobile Home Park, 43.261670, -82.718060
Buena Vista, 43.420300, -83.898580
Bullis Crossing, 42.467810, -84.033010
Bullock Creek, 43.583360, -84.247770
Bumbletown, 47.288810, -88.419560
Bunker Hill, 42.475590, -84.317470
Burdickville, 44.848890, -85.948150
Burgess, 45.352510, -85.161450
Burkhart Ridge Mobile Home Park, 42.610280, -84.003330
Burlington, 42.106710, -85.079700
Burnham Island, 46.005850, -84.461150
Burnips, 42.731970, -85.839480
Burns Landing, 46.827420, -87.729020
Burnside, 43.210580, -83.077160
Burnt, 43.236690, -83.903300
Burnt Island, 45.293630, -83.491930
Burnt Island, 46.103080, -83.805280
Burnt Island, 48.146820, -88.582010
Burnt Island, 46.228880, -85.734280
Burr Oak, 41.847270, -85.318590
Burt, 43.236690, -83.906360
Burt Lake, 45.440840, -84.711150
Burton, 43.007800, -84.284700
Burton, 42.999470, -83.616340
Butler, 42.057820, -84.865250
Butlers Island, 45.861080, -87.015970
Butman, 44.139190, -84.467510
Butterfield, 44.277790, -84.953370
Butterfield Island, 46.081410, -83.852780
Butternut, 43.183370, -84.915560
Buttersville, 43.945000, -86.455640
Byron, 42.822810, -83.944400
Byron Center, 42.812250, -85.722810
Byron Center Mobile Village, 42.809720, -85.729720
Cadgewith Farms Mobile Home Park, 42.780560, -84.516670
Cadillac, 44.251950, -85.401160
Cadillac Leisure Mobile Home Community, 44.258890, -85.423890
Cadmus, 41.873940, -84.160500
Cady, 42.560310, -82.964370
Caffey, 46.168900, -85.185360
Caffey Corner, 46.161950, -85.185360
Calcite, 45.408900, -83.786660
Calderwood, 46.409670, -89.085420
Caledonia, 42.789200, -85.516690
Calf Island, 42.103380, -83.178540
California, 41.796440, -84.883290
Calumet, 47.246590, -88.454010
Calvin Center, 41.845880, -85.935000
Cambria, 41.821990, -84.664950
Cambridge Junction, 42.058930, -84.221060
Camden, 41.752270, -84.757730
Camelot Villa Mobile Home Community, 43.130560, -83.612500
Camelot Village Mobile Home Park, 43.249170, -85.797220
Camp Dejacket, 46.585500, -90.281010
Camp Lu Lay Lea, 44.336960, -84.008050
Campbell, 46.017180, -87.131250
