"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-13","5.9",",,W",,,"2.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","20.6","H,,S","27.8",",,W","16.7",",,W","  260",",,W","  270",",,W","10.3",",,W","14.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-14","3.8",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","18.4","H,,S","23.3",",,W","13.3",",,W","  240",",,W","  240",",,W","8.9",",,W","12.1",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-15","2.8",",,W",,,"1.5",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","18.6","H,,S","23.9",",,W","14.4",",,W","  240",",,W","  250",",,W","10.3",",,W","15.7",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-16","2.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","21.3","H,,S","26.1",",,W","16.1",",,W","   20",",,W","   40",",,W","4.5",",,W","7.2",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-17","1.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","17.3","H,,S","23.3",",,W","13.3",",,W","   60",",,W","   70",",,W","4.5",",,W","7.2",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-18","2.9",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","19.1","H,,S","26.7",",,W","12.2",",,W","  140",",,W","  130",",,W","6.7",",,W","8.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-19","2.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","20.4","H,,S","27.8",",,W","15.0",",,W","  150",",,W","  130",",,W","4.5",",,W","6.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-20","0.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","21.2","H,,S","28.3",",,W","15.6",",,W","  180",",,W","  190",",,W","3.6",",,W","4.9",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-21","2.8",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400","22.2","H,,S","30.0",",,W","17.8",",,W","  200",",,W","  200",",,W","9.8",",,W","14.3",",,W"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.77609","-84.59972","261.2","2019-09-22","5.6",",,W",,,"10.2",",,W,2400","0.0",",,W,2400","0.0",",,W,2400","24.1","H,,S","28.9",",,W","20.0",",,W","  230",",,W","  240",",,W","11.6",",,W","15.7",",,W"
